id,station_code,name,address,longitude,latitude,price,enabled,created_at,updated_at
1,SZ001,深圳市民中心充电站,深圳市福田区福中三路市民中心停车场,114.061000,22.546000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
2,SZ002,福田CBD充电站,深圳市福田区益田路卓越世纪中心,114.058000,22.532000,1.60,1,2026-09-09 12:13:46,2026-09-09 12:13:46
3,SZ003,南山科技园充电站,深圳市南山区科技园南区高新南一道,113.945000,22.540000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
4,BJ001,北京国贸充电站,北京市朝阳区建国门外大街,116.460000,39.908000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
5,BJ002,中关村充电站,北京市海淀区中关村大街,116.316000,39.984000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
6,BJ003,北京西单充电站,北京市西城区西单北大街,116.380000,39.910000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
7,BJ004,北京望京充电站,北京市朝阳区望京街,116.480000,39.996000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
8,SH001,上海陆家嘴充电站,上海市浦东新区陆家嘴环路,121.500000,31.240000,1.60,1,2026-09-09 12:13:46,2026-09-09 12:13:46
9,SH002,上海虹桥充电站,上海市闵行区虹桥路,121.340000,31.200000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
10,SH003,上海人民广场充电站,上海市黄浦区人民大道,121.470000,31.230000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
11,SH004,上海张江充电站,上海市浦东新区张江路,121.590000,31.200000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
12,GZ001,广州天河充电站,广州市天河区天河路,113.320000,23.130000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
13,GZ002,广州珠江新城充电站,广州市天河区珠江新城,113.330000,23.120000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
14,GZ003,广州白云充电站,广州市白云区白云大道,113.260000,23.160000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
15,HZ001,杭州西湖充电站,杭州市西湖区文三路,120.150000,30.270000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
16,HZ002,杭州滨江充电站,杭州市滨江区江南大道,120.210000,30.210000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
17,HZ003,杭州未来科技城充电站,杭州市余杭区文一西路,120.020000,30.280000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
18,NJ001,南京新街口充电站,南京市秦淮区中山南路,118.780000,32.040000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
19,NJ002,南京河西充电站,南京市建邺区河西,118.720000,32.000000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
20,NJ003,南京江宁充电站,南京市江宁区双龙大道,118.850000,31.950000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
21,SZ004,深圳宝安机场充电站,深圳市宝安区机场南路深圳宝安国际机场,113.660000,22.526000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
