id,station_id,code,type,power_kw,status,current_user_id,last_online_at,enabled,total_count,total_hours
1,1,SZ001-01,fast,120.0,idle,,,1,1,0.0
2,1,SZ001-02,fast,180.0,idle,,,1,0,0.0
3,1,SZ001-03,fast,120.0,busy,,,1,0,0.0
4,1,SZ001-04,slow,7.0,busy,,,1,0,0.0
5,2,SZ002-01,fast,120.0,idle,,,1,0,0.0
6,2,SZ002-02,fast,180.0,idle,,,1,0,0.0
7,2,SZ002-03,fast,120.0,idle,,,1,0,0.0
8,2,SZ002-04,slow,7.0,idle,,,1,0,0.0
9,2,SZ002-05,slow,7.0,idle,,,1,0,0.0
10,2,SZ002-06,fast,120.0,idle,,,1,0,0.0
11,3,SZ003-01,fast,120.0,idle,,,1,0,0.0
12,3,SZ003-02,fast,180.0,idle,,,1,0,0.0
13,3,SZ003-03,fast,120.0,busy,,,1,0,0.0
14,3,SZ003-04,slow,7.0,idle,,,1,0,0.0
15,4,BJ001-01,fast,180.0,fault,,,1,0,0.0
16,4,BJ001-02,fast,120.0,idle,,,1,0,0.0
17,4,BJ001-03,fast,120.0,idle,,,1,0,0.0
18,4,BJ001-04,slow,7.0,idle,,,1,0,0.0
19,4,BJ001-05,fast,180.0,fault,,,1,0,0.0
20,5,BJ002-01,fast,180.0,idle,,,1,3,0.0
21,5,BJ002-02,fast,180.0,busy,,,1,2,0.0
22,5,BJ002-03,slow,7.0,busy,,,1,0,0.0
23,5,BJ002-04,fast,120.0,idle,,,1,0,0.0
24,5,BJ002-05,slow,7.0,idle,,,1,0,0.0
25,5,BJ002-06,fast,120.0,idle,,,1,0,0.0
26,6,BJ003-01,fast,180.0,idle,,,1,0,0.0
27,6,BJ003-02,fast,180.0,idle,,,1,0,0.0
28,6,BJ003-03,slow,7.0,idle,,,1,0,0.0
29,6,BJ003-04,fast,180.0,busy,,,1,0,0.0
30,6,BJ003-05,fast,120.0,idle,,,1,0,0.0
31,6,BJ003-06,fast,120.0,idle,,,1,0,0.0
32,7,BJ004-01,fast,180.0,busy,,,1,0,0.0
33,7,BJ004-02,fast,120.0,fault,,,1,0,0.0
34,7,BJ004-03,fast,180.0,busy,,,1,0,0.0
35,7,BJ004-04,slow,7.0,busy,,,1,0,0.0
36,7,BJ004-05,fast,180.0,idle,,,1,1,0.0
37,7,BJ004-06,fast,120.0,idle,,,1,0,0.0
38,8,SH001-01,slow,7.0,idle,,,1,0,0.0
39,8,SH001-02,fast,120.0,idle,,,1,0,0.0
40,8,SH001-03,fast,120.0,idle,,,1,0,0.0
41,8,SH001-04,fast,180.0,fault,,,1,0,0.0
